"","rowname","PlateID","WellName","Field","Timepoint","timepoint","X","Y","FRET1","CFP.Mean","YFP.Mean","Cell.Roundness","Cell.Area.µm","dist","dfret","df.fret","Well2","Treatment","time"
"162","46",16765,"B10",3,1,"1",807,457,0.84616,798.089,675.311,1.02304,53.2836,0,0,0,"10","FSK",0
"163","46",16765,"B10",3,1,"2",802,453,0.856711,898.044,769.364,1.02881,55.1804,6.40312423743285,0.010551,1.24692729507421,"10","FSK",2
"164","46",16765,"B10",3,1,"3",800,447,1.01309,733.85,743.454,1.03556,53.0249,6.32455532033676,0.16693,19.7279474331096,"10","FSK",6
"165","46",16765,"B10",3,1,"4",796,442,1.04368,659.697,688.515,0.995594,50.8694,6.40312423743285,0.19752,23.3431029592512,"10","FSK",10
"166","47",16765,"B10",3,1,"1",95,480,0.743842,1245.34,926.333,0.968586,74.8384,0,0,0,"10","FSK",0
"167","47",16765,"B10",3,1,"2",89,474,0.736629,1423.14,1048.33,0.969266,78.0285,8.48528137423857,-0.00721300000000002,-0.969695177201613,"10","FSK",2
"168","47",16765,"B10",3,1,"3",89,468,0.761117,1250.02,951.414,0.964839,75.8731,6,0.017275,2.32240180038234,"10","FSK",6
"169","47",16765,"B10",3,1,"4",85,464,0.799297,1107.01,884.827,0.957677,71.907,5.65685424949238,0.055455,7.45521226281926,"10","FSK",10
"170","48",16765,"B10",3,1,"1",317,493,0.801077,506.959,406.113,0.950956,62.5091,0,0,0,"10","FSK",0
"171","48",16765,"B10",3,1,"2",314,487,0.796118,536.199,426.878,0.897175,65.6992,6.70820393249937,-0.00495900000000005,-0.619041615225508,"10","FSK",2
"172","48",16765,"B10",3,1,"3",311,481,0.809787,513.82,416.084,0.912946,62.2504,6.70820393249937,0.00871,1.08728624089819,"10","FSK",6
"173","48",16765,"B10",3,1,"4",307,476,0.825683,471.957,389.687,0.951727,62.5953,6.40312423743285,0.0246059999999999,3.07161483852363,"10","FSK",10
"174","49",16765,"B10",3,1,"1",142,505,0.795468,1419.03,1128.79,0.948612,67.8547,0,0,0,"10","FSK",0
"175","49",16765,"B10",3,1,"2",136,499,0.794004,1751.3,1390.54,0.995523,70.6137,8.48528137423857,-0.00146399999999991,-0.18404260133656,"10","FSK",2
"176","49",16765,"B10",3,1,"3",134,493,0.917168,1328.11,1218.1,0.981277,68.8893,6.32455532033676,0.1217,15.2991697968994,"10","FSK",6
"177","49",16765,"B10",3,1,"4",131,488,1.0152,1031.3,1046.98,0.985055,67.8547,5.8309518948453,0.219732,27.6229842055243,"10","FSK",10
"178","50",16765,"B10",3,1,"1",665,674,0.869598,497.143,432.315,0.92605,42.7648,0,0,0,"10","FSK",0
"179","50",16765,"B10",3,1,"2",659,668,0.866704,559.058,484.538,0.891294,44.403,8.48528137423857,-0.00289399999999995,-0.332797453535996,"10","FSK",2
